Naam,Team,Prijs
Tadej Pogacar,UAE Team Emirates - XRG,€14M
Mathieu van der Poel,Alpecin - Premier Tech,€14M
Remco Evenepoel,Red Bull - BORA - hansgrohe,€12M
Wout van Aert,Team Visma | Lease a Bike,€11M
Mads Pedersen,Lidl - Trek,€10M
Jasper Philipsen,Alpecin - Premier Tech,€9M
Tim Merlier,Soudal Quick-Step,€8M
Tom Pidcock,Pinarello - Q36.5 Pro Cycling,€8M
Jonas Vingegaard,Team Visma | Lease a Bike,€8M
Juan Ayuso,Lidl - Trek,€7M
Isaac Del Toro,UAE Team Emirates - XRG,€7M
Filippo Ganna,INEOS Grenadiers,€7M
Ben Healy,EF Education - EasyPost,€7M
Paul Magnier,Soudal Quick-Step,€7M
Jonathan Milan,Lidl - Trek,€7M
Primož Roglic,Red Bull - BORA - hansgrohe,€7M
Mattias Skjelmose,Lidl - Trek,€7M
João Almeida,UAE Team Emirates - XRG,€6M
Tiesj Benoot,Decathlon CMA CGM Team,€6M
Matthew Brennan,Team Visma | Lease a Bike,€6M
Richard Carapaz,EF Education - EasyPost,€6M
Arnaud De Lie,Lotto-Intermarché,€6M
Kaden Groves,Alpecin - Premier Tech,€6M
Matteo Jorgenson,Team Visma | Lease a Bike,€6M
Olav Kooij,Decathlon CMA CGM Team,€6M
Florian Lipowitz,Red Bull - BORA - hansgrohe,€6M
Michael Matthews,Team Jayco AlUla,€6M
Thibau Nys,Lidl - Trek,€6M
Neilson Powless,EF Education - EasyPost,€6M
Jasper Stuyven,Soudal Quick-Step,€6M
Mathias Vacek,Lidl - Trek,€6M
Maxim Van Gils,Red Bull - BORA - hansgrohe,€6M
Tim Wellens,UAE Team Emirates - XRG,€6M
Santiago Buitrago,Bahrain - Victorious,€5M
Jan Christen,UAE Team Emirates - XRG,€5M
Giulio Ciccone,Lidl - Trek,€5M
Benoît Cosnefroy,UAE Team Emirates - XRG,€5M
Tibor Del Grosso,Alpecin - Premier Tech,€5M
Milan Fretin,Cofidis,€5M
Felix Gall,Decathlon CMA CGM Team,€5M
Derek Gee,Lidl - Trek,€5M
Biniam Girmay,NSN Cycling Team,€5M
Romain Grégoire,Groupama - FDJ United,€5M
Jai Hindley,Red Bull - BORA - hansgrohe,€5M
Marc Hirschi,Tudor Pro Cycling Team,€5M
Hugo Hofstetter,NSN Cycling Team,€5M
Tobias Johannessen,Uno-X Mobility,€5M
Stefan Küng,Tudor Pro Cycling Team,€5M
Sepp Kuss,Team Visma | Lease a Bike,€5M
Christophe Laporte,Team Visma | Lease a Bike,€5M
Lenny Martinez,Bahrain - Victorious,€5M
Jordi Meeus,Red Bull - BORA - hansgrohe,€5M
Matej Mohoric,Bahrain - Victorious,€5M
Jhonatan Narváez,UAE Team Emirates - XRG,€5M
Ben O'Connor,Team Jayco AlUla,€5M
Oscar Onley,INEOS Grenadiers,€5M
Giulio Pellizzari,Red Bull - BORA - hansgrohe,€5M
Christian Scaroni,XDS Astana Team,€5M
Paul Seixas,Decathlon CMA CGM Team,€5M
Magnus Sheffield,INEOS Grenadiers,€5M
Michael Storer,Tudor Pro Cycling Team,€5M
Antonio Tiberi,Bahrain - Victorious,€5M
Matteo Trentin,Tudor Pro Cycling Team,€5M
Cian Uijtdebroeks,Movistar Team,€5M
Lennert Van Eetvelt,Lotto-Intermarché,€5M
Kévin Vauquelin,INEOS Grenadiers,€5M
Florian Vermeersch,UAE Team Emirates - XRG,€5M
Jay Vine,UAE Team Emirates - XRG,€5M
Søren Wærenskjold,Uno-X Mobility,€5M
Adam Yates,UAE Team Emirates - XRG,€5M
Jonas Abrahamsen,Uno-X Mobility,€4M
Pascal Ackermann,Team Jayco AlUla,€4M
Julian Alaphilippe,Tudor Pro Cycling Team,€4M
Alex Aranburu,Cofidis,€4M
Thymen Arensman,INEOS Grenadiers,€4M
Kasper Asgreen,EF Education - EasyPost,€4M
Lewis Askey,NSN Cycling Team,€4M
Orluis Aular,Movistar Team,€4M
Davide Ballerini,XDS Astana Team,€4M
Louis Barré,Team Visma | Lease a Bike,€4M
Phil Bauhaus,Bahrain - Victorious,€4M
Sam Bennett,Pinarello - Q36.5 Pro Cycling,€4M
Jenno Berckmoes,Lotto-Intermarché,€4M
Egan Bernal,INEOS Grenadiers,€4M
Alberto Bettiol,XDS Astana Team,€4M
Pello Bilbao,Bahrain - Victorious,€4M
Pavel Bittner,Team Picnic PostNL,€4M
Cees Bol,Decathlon CMA CGM Team,€4M
Victor Campenaerts,Team Visma | Lease a Bike,€4M
Damiano Caruso,Bahrain - Victorious,€4M
Pablo Castrillo,Movistar Team,€4M
Bryan Coquard,Cofidis,€4M
Magnus Cort,Uno-X Mobility,€4M
Alberto Dainese,Soudal Quick-Step,€4M
